popularity,redundancy
51,5.61344537815126
51,2.4285714285714284
51,2.1512605042016806
51,3.991596638655462
51,2.5294117647058822
51,3.235294117647059
51,3.8823529411764706
51,2.689075630252101
51,3.1596638655462184
51,2.638655462184874
51,2.6134453781512605
51,2.0
51,2.302521008403361
51,2.033613445378151
51,2.1848739495798317
51,4.831932773109243
51,2.0
51,3.0
51,3.689075630252101
51,2.8907563025210083
51,2.033613445378151
51,4.5966386554621845
51,4.2521008403361344
51,3.764705882352941
51,3.361344537815126
51,3.46218487394958
51,1.411764705882353
51,3.008403361344538
51,3.8151260504201683
51,2.9243697478991595
38,3.2184873949579833
38,3.8403361344537816
38,3.80672268907563
38,2.46218487394958
38,2.8823529411764706
38,2.403361344537815
38,3.0
38,3.7563025210084033
38,3.4789915966386555
38,1.0
38,1.4621848739495797
38,2.3949579831932772
38,2.1176470588235294
38,1.7394957983193278
38,2.3949579831932772
38,3.176470588235294
38,2.3445378151260505
38,3.0168067226890756
38,3.504201680672269
38,2.9747899159663866
38,2.4873949579831933
38,3.3529411764705883
38,1.8487394957983194
38,2.6218487394957983
38,3.453781512605042
38,2.5546218487394956
38,3.9831932773109244
38,3.1596638655462184
38,1.4201680672268908
38,3.7983193277310923
31,2.142857142857143
31,3.495798319327731
31,2.2184873949579833
31,2.0588235294117645
31,2.2521008403361344
31,2.277310924369748
31,2.6554621848739495
31,1.2352941176470589
31,3.9243697478991595
31,2.73109243697479
31,3.5294117647058822
31,2.546218487394958
31,2.2941176470588234
31,1.7394957983193278
31,2.8403361344537816
31,1.9411764705882353
31,2.0756302521008405
31,2.73109243697479
31,2.369747899159664
31,1.5630252100840336
31,3.5294117647058822
31,2.327731092436975
31,2.3949579831932772
31,1.453781512605042
31,2.9747899159663866
31,3.9243697478991595
31,2.1260504201680672
31,1.815126050420168
31,1.0336134453781514
31,1.7899159663865547
15,0.8235294117647058
15,3.689075630252101
15,1.949579831932773
15,1.5714285714285714
15,3.042016806722689
15,3.2436974789915967
15,3.3781512605042017
15,1.6218487394957983
15,1.4705882352941178
15,3.6638655462184873
15,2.0840336134453783
15,2.042016806722689
15,1.2436974789915967
15,2.411764705882353
15,2.0504201680672267
15,3.1260504201680672
15,2.0
15,1.6218487394957983
15,1.5126050420168067
15,2.8907563025210083
15,1.26890756302521
15,2.100840336134454
15,2.2857142857142856
15,2.7058823529411766
15,2.73109243697479
15,3.2184873949579833
15,1.0084033613445378
15,2.1512605042016806
15,2.042016806722689
15,2.4453781512605044
6,1.3697478991596639
6,2.176470588235294
6,1.2521008403361344
6,1.596638655462185
6,1.411764705882353
6,1.9243697478991597
6,1.7394957983193278
6,2.4453781512605044
6,3.277310924369748
6,2.3781512605042017
6,1.26890756302521
6,2.991596638655462
6,3.2436974789915967
6,3.1260504201680672
6,1.0
6,3.7899159663865545
6,2.8907563025210083
6,2.5546218487394956
6,1.5714285714285714
6,2.0
6,2.310924369747899
6,1.5798319327731092
6,1.1428571428571428
6,2.2941176470588234
6,1.1176470588235294
6,1.0
6,2.2857142857142856
6,2.6638655462184873
6,3.8823529411764706
6,1.7226890756302522
5,1.2941176470588236
5,2.6638655462184873
5,1.1512605042016806
5,3.302521008403361
5,1.495798319327731
5,0.3697478991596639
5,0.8151260504201681
5,3.680672268907563
5,1.504201680672269
5,2.436974789915966
5,2.2016806722689077
5,1.0
5,1.7899159663865547
5,1.0588235294117647
5,2.5294117647058822
5,1.1596638655462186
5,1.2605042016806722
5,0.15966386554621848
5,1.4369747899159664
5,1.4705882352941178
5,1.361344537815126
5,2.689075630252101
5,1.1260504201680672
5,3.1176470588235294
5,1.9411764705882353
5,2.9159663865546217
5,2.588235294117647
5,2.0672268907563027
5,1.5294117647058822
5,0.025210084033613446
4,0.9663865546218487
4,0.0
4,0.5546218487394958
4,0.0
4,0.2773109243697479
4,0.0
4,0.0
4,1.0
4,1.73109243697479
4,0.8319327731092437
4,0.2857142857142857
4,0.5630252100840336
4,0.2773109243697479
4,1.6050420168067228
4,0.2689075630252101
4,0.5462184873949579
4,1.0
4,0.29411764705882354
4,0.2773109243697479
4,0.7647058823529411
4,0.0
4,0.0
4,1.0588235294117647
4,0.0
4,1.2605042016806722
4,0.5462184873949579
4,0.0
4,0.7899159663865546
4,0.2605042016806723
4,0.01680672268907563
3,0.7647058823529411
3,0.0
3,0.0
3,1.2436974789915967
3,0.5378151260504201
3,0.9831932773109243
3,0.9831932773109243
3,0.0
3,0.2773109243697479
3,0.01680672268907563
3,0.6638655462184874
3,0.2605042016806723
3,0.40336134453781514
3,0.9831932773109243
3,0.0
3,0.0
3,0.8739495798319328
3,0.25210084033613445
3,0.2857142857142857
3,0.0
3,0.0
3,0.2857142857142857
3,0.0
3,0.7983193277310925
3,0.0
3,0.9747899159663865
3,0.16806722689075632
3,1.218487394957983
3,0.9747899159663865
3,0.0
2,0.7983193277310925
2,0.0
2,0.0
2,0.2857142857142857
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
